Year,Economy,Region,Scenario,BEV_stocks,ICE_stocks
2027,10_MAS,Southeast Asia,Reference,129121.00000000001,15496775.0
2027,11_MEX,Other Americas,Carbon Neutral,1323888.0,29307908.0
2027,11_MEX,Other Americas,Reference,472845.0,30888073.0
2027,12_NZ,Oceania,Carbon Neutral,261091.00000000003,2875833.0
2027,12_NZ,Oceania,Reference,123693.0,3052984.0
2027,13_PNG,Oceania,Carbon Neutral,293.0,136276.0
2027,13_PNG,Oceania,Reference,64.0,136522.0
2027,14_PE,Other Americas,Carbon Neutral,138926.0,2318774.0
2027,14_PE,Other Americas,Reference,48032.0,2448242.0
2027,15_RP,Southeast Asia,Carbon Neutral,56160.0,1158679.0
2027,15_RP,Southeast Asia,Reference,18330.0,1108048.0000000002
2027,16_RUS,Russia,Carbon Neutral,1220079.0,50966781.0
2027,16_RUS,Russia,Reference,115086.0,52027895.0
2027,17_SIN,Southeast Asia,Carbon Neutral,71050.0,474913.0
2027,17_SIN,Southeast Asia,Reference,36910.0,516101.00000000006
2027,18_CT,Northeast Asia,Carbon Neutral,453475.0,6559400.999999999
2027,18_CT,Northeast Asia,Reference,195099.0,6952432.999999999
2027,19_THA,Southeast Asia,Carbon Neutral,1051822.0,12491034.0
2027,19_THA,Southeast Asia,Reference,411524.0,13530949.0
2027,20_USA,USA,Carbon Neutral,9015021.0,112046131.0
2027,20_USA,USA,Reference,4356087.0,118605679.0
2027,21_VN,Southeast Asia,Carbon Neutral,169761.0,5188563.0
