Year,Economy,Region,Scenario,Value,Sales,Unit
2024,16_RUS,Russia,Carbon Neutral,0.089893,0.041686,Million
2024,14_PE,Other Americas,Carbon Neutral,0.025624,0.009381,Million
2024,16_RUS,Russia,Reference,0.057868,0.013958000000000005,Million
2024,18_CT,Northeast Asia,Reference,0.075721,0.018730999999999998,Million
2024,17_SIN,Southeast Asia,Reference,0.02163,0.00425,Million
2024,18_CT,Northeast Asia,Carbon Neutral,0.090823,0.031483000000000004,Million
2024,19_THA,Southeast Asia,Carbon Neutral,0.279173,0.09424099999999999,Million
2024,19_THA,Southeast Asia,Reference,0.220274,0.04755100000000001,Million
2024,20_USA,USA,Carbon Neutral,2.474461,0.6486059999999998,Million
2024,20_USA,USA,Reference,2.223375,0.4012309999999999,Million
2024,21_VN,Southeast Asia,Carbon Neutral,0.019307,0.009193000000000002,Million
2024,12_NZ,Oceania,Carbon Neutral,0.072033,0.020192,Million
2024,17_SIN,Southeast Asia,Carbon Neutral,0.026465,0.008923,Million
2024,21_VN,Southeast Asia,Reference,0.014657,0.005337,Million
2024,11_MEX,Other Americas,Reference,0.189228,0.04766100000000001,Million
2024,10_MAS,Southeast Asia,Reference,0.027684,0.010692,Million
2024,01_AUS,Oceania,Carbon Neutral,0.150172,0.045340000000000005,Million
2024,01_AUS,Oceania,Reference,0.129397,0.026831000000000008,Million
2024,02_BD,Southeast Asia,Carbon Neutral,0.001649,0.0006920000000000001,Million
2024,02_BD,Southeast Asia,Reference,0.001203,0.0003260000000000001,Million
2024,03_CDA,Other Americas,Carbon Neutral,0.237416,0.065582,Million
2024,03_CDA,Other Americas,Reference,0.213199,0.04136500000000001,Million
2024,04_CHL,Other Americas,Carbon Neutral,0.006555,0.0035930000000000003,Million
2024,04_CHL,Other Americas,Reference,0.034841,0.009923999999999995,Million
2024,05_PRC,China,Carbon Neutral,17.475129,3.1577449999999985,Million
2024,11_MEX,Other Americas,Carbon Neutral,0.234701,0.08629999999999999,Million
2024,06_HKC,Northeast Asia,Carbon Neutral,0.007574,0.0019230000000000002,Million
2024,06_HKC,Northeast Asia,Reference,0.011023,0.0016039999999999995,Million
2024,07_INA,Southeast Asia,Carbon Neutral,0.138609,0.054678000000000004,Million
2024,07_INA,Southeast Asia,Reference,0.089859,0.01877899999999999,Million
2024,08_JPN,Northeast Asia,Carbon Neutral,0.76524,0.22626900000000005,Million
2024,08_JPN,Northeast Asia,Reference,1.515727,0.20579100000000006,Million
2024,09_ROK,Northeast Asia,Carbon Neutral,0.425051,0.144109,Million
2024,09_ROK,Northeast Asia,Reference,0.305551,0.07227800000000001,Million
2024,10_MAS,Southeast Asia,Carbon Neutral,0.036357,0.017941000000000002,Million
2024,05_PRC,China,Reference,15.626872,1.6441280000000003,Million
2025,15_RP,Southeast Asia,Carbon Neutral,0.017793,0.00788,Million
2025,14_PE,Other Americas,Reference,0.027094,0.006789,Million
2025,14_PE,Other Americas,Carbon Neutral,0.043624,0.018000000000000002,Million
2025,12_NZ,Oceania,Carbon Neutral,0.106614,0.034581,Million
2025,13_PNG,Oceania,Carbon Neutral,3e-06,3e-06,Million
2025,12_NZ,Oceania,Reference,0.079492,0.015680999999999987,Million
2025,15_RP,Southeast Asia,Reference,0.010222,0.002609,Million
2025,13_PNG,Oceania,Reference,1e-06,1e-06,Million
2025,16_RUS,Russia,Carbon Neutral,0.208627,0.118734,Million
2025,18_CT,Northeast Asia,Reference,0.102964,0.027243000000000003,Million
2025,17_SIN,Southeast Asia,Carbon Neutral,0.0388,0.012335000000000002,Million
2025,17_SIN,Southeast Asia,Reference,0.026242,0.0046120000000000015,Million
2025,18_CT,Northeast Asia,Carbon Neutral,0.157802,0.066979,Million
2025,19_THA,Southeast Asia,Carbon Neutral,0.419,0.13982699999999998,Million
2025,19_THA,Southeast Asia,Reference,0.272774,0.05250000000000002,Million
2025,20_USA,USA,Carbon Neutral,3.607137,1.132676,Million
2025,20_USA,USA,Reference,2.756492,0.5331170000000003,Million
2025,21_VN,Southeast Asia,Carbon Neutral,0.041789,0.022482,Million
2025,11_MEX,Other Americas,Reference,0.255991,0.06676300000000002,Million
2025,16_RUS,Russia,Reference,0.074126,0.016257999999999995,Million
2025,21_VN,Southeast Asia,Reference,0.023903,0.009246,Million
2025,11_MEX,Other Americas,Carbon Neutral,0.403891,0.16919,Million
2025,10_MAS,Southeast Asia,Carbon Neutral,0.081296,0.04493899999999999,Million
2025,10_MAS,Southeast Asia,Reference,0.046681,0.018997,Million
2025,01_AUS,Oceania,Carbon Neutral,0.240711,0.09053900000000001,Million
2025,01_AUS,Oceania,Reference,0.163185,0.033787999999999985,Million
2025,02_BD,Southeast Asia,Carbon Neutral,0.003116,0.0014669999999999998,Million
2025,02_BD,Southeast Asia,Reference,0.001598,0.00039499999999999995,Million
2025,03_CDA,Other Americas,Reference,0.26715,0.053951,Million
2025,04_CHL,Other Americas,Carbon Neutral,0.018361,0.011805999999999999,Million
2025,04_CHL,Other Americas,Reference,0.05048,0.015639,Million
2025,05_PRC,China,Carbon Neutral,22.680201,5.205072000000001,Million
2025,03_CDA,Other Americas,Carbon Neutral,0.363993,0.12657700000000002,Million
2025,06_HKC,Northeast Asia,Carbon Neutral,0.012435,0.004861,Million
2025,06_HKC,Northeast Asia,Reference,0.012991,0.001968000000000001,Million
2025,07_INA,Southeast Asia,Carbon Neutral,0.236498,0.097889,Million
2025,07_INA,Southeast Asia,Reference,0.110207,0.020348000000000005,Million
2025,08_JPN,Northeast Asia,Carbon Neutral,1.20527,0.44003000000000003,Million
2025,08_JPN,Northeast Asia,Reference,1.721633,0.20590599999999992,Million
2025,09_ROK,Northeast Asia,Carbon Neutral,0.69599,0.270939,Million
2025,05_PRC,China,Reference,17.519323,1.8924509999999994,Million
2025,09_ROK,Northeast Asia,Reference,0.405579,0.100028,Million
2026,15_RP,Southeast Asia,Reference,0.013741,0.0035189999999999996,Million
2026,15_RP,Southeast Asia,Carbon Neutral,0.032292,0.014499000000000001,Million
2026,14_PE,Other Americas,Reference,0.036235,0.009141000000000003,Million
2026,12_NZ,Oceania,Reference,0.099411,0.019919000000000006,Million
2026,13_PNG,Oceania,Reference,1.3e-05,1.1999999999999999e-05,Million
2026,13_PNG,Oceania,Carbon Neutral,4.6e-05,4.3e-05,Million
2026,16_RUS,Russia,Carbon Neutral,0.532922,0.324295,Million
2026,14_PE,Other Americas,Carbon Neutral,0.078871,0.035246999999999994,Million
2026,16_RUS,Russia,Reference,0.093412,0.019285999999999998,Million
2026,21_VN,Southeast Asia,Reference,0.039351,0.015447999999999996,Million
2026,17_SIN,Southeast Asia,Reference,0.031336,0.005094000000000001,Million
2026,18_CT,Northeast Asia,Carbon Neutral,0.266619,0.108817,Million
2026,18_CT,Northeast Asia,Reference,0.142084,0.03911999999999999,Million
2026,19_THA,Southeast Asia,Carbon Neutral,0.671893,0.252893,Million
2026,19_THA,Southeast Asia,Reference,0.337554,0.06478,Million
2026,20_USA,USA,Carbon Neutral,5.700996,2.093859,Million
2026,20_USA,USA,Reference,3.463286,0.7067939999999999,Million
2026,21_VN,Southeast Asia,Carbon Neutral,0.08603,0.044240999999999996,Million
2026,12_NZ,Oceania,Carbon Neutral,0.167745,0.061131000000000005,Million
2026,17_SIN,Southeast Asia,Carbon Neutral,0.053555,0.014754999999999997,Million
2026,11_MEX,Other Americas,Reference,0.349318,0.093327,Million
2026,06_HKC,Northeast Asia,Carbon Neutral,0.020156,0.007721,Million
2026,10_MAS,Southeast Asia,Reference,0.078207,0.031526,Million
2026,01_AUS,Oceania,Carbon Neutral,0.398329,0.15761799999999998,Million
2026,01_AUS,Oceania,Reference,0.20632,0.04313500000000001,Million
2026,02_BD,Southeast Asia,Carbon Neutral,0.00584,0.002724,Million
2026,02_BD,Southeast Asia,Reference,0.00208,0.0004819999999999998,Million
2026,03_CDA,Other Americas,Carbon Neutral,0.594982,0.230989,Million
2026,03_CDA,Other Americas,Reference,0.337851,0.07070100000000001,Million
2026,04_CHL,Other Americas,Carbon Neutral,0.056506,0.038145,Million
2026,04_CHL,Other Americas,Reference,0.074854,0.024374000000000007,Million
2026,05_PRC,China,Carbon Neutral,28.415697,5.735496000000001,Million
2026,11_MEX,Other Americas,Carbon Neutral,0.733499,0.329608,Million
2026,05_PRC,China,Reference,19.232979,1.7136560000000003,Million
2026,06_HKC,Northeast Asia,Reference,0.014909,0.0019179999999999996,Million
2026,07_INA,Southeast Asia,Carbon Neutral,0.445228,0.20873,Million
2026,07_INA,Southeast Asia,Reference,0.132709,0.022501999999999994,Million
2026,08_JPN,Northeast Asia,Carbon Neutral,2.02546,0.8201899999999998,Million
2026,08_JPN,Northeast Asia,Reference,1.930419,0.20878600000000014,Million
