Year,Economy,Region,Scenario,Sales,Battery_cost_measure,Battery_cost,Total_cost,Battery_cost_Region,Battery_cost_Measure
2020,17_SIN,Southeast Asia,Carbon Neutral,3173.0,China_Max,5946.805951935694,18869215.28549196,China,Max
2020,11_MEX,Other Americas,Reference,20706.0,China_Max,5946.805951935694,123134564.04078048,China,Max
2020,06_HKC,Northeast Asia,Carbon Neutral,77.99999999999994,China_Max,5946.805951935694,463850.8642509838,China,Max
2020,10_MAS,Southeast Asia,Reference,1609.0,China_Max,5946.805951935694,9568410.77666453,China,Max
2020,01_AUS,Oceania,Reference,18660.0,China_Max,5946.805951935694,110967399.06312005,China,Max
2020,02_BD,Southeast Asia,Carbon Neutral,94.99999999999997,China_Max,5946.805951935694,564946.5654338908,China,Max
2020,02_BD,Southeast Asia,Reference,94.99999999999997,China_Max,5946.805951935694,564946.5654338908,China,Max
2020,03_CDA,Other Americas,Carbon Neutral,33088.0,China_Max,5946.805951935694,196767915.33764824,China,Max
2020,03_CDA,Other Americas,Reference,33088.0,China_Max,5946.805951935694,196767915.33764824,China,Max
2020,04_CHL,Other Americas,Carbon Neutral,316.0,China_Max,5946.805951935694,1879190.6808116792,China,Max
2020,04_CHL,Other Americas,Reference,3510.0,China_Max,5946.805951935694,20873288.891294286,China,Max
2020,05_PRC,China,Carbon Neutral,70176.0,China_Max,5946.805951935694,417323054.48303926,China,Max
2020,05_PRC,China,Reference,70176.0,China_Max,5946.805951935694,417323054.48303926,China,Max
2020,01_AUS,Oceania,Carbon Neutral,18660.0,China_Max,5946.805951935694,110967399.06312005,China,Max
2020,06_HKC,Northeast Asia,Reference,693.0,China_Max,5946.805951935694,4121136.524691436,China,Max
2020,10_MAS,Southeast Asia,Carbon Neutral,1609.0,China_Max,5946.805951935694,9568410.77666453,China,Max
2020,09_ROK,Northeast Asia,Reference,37559.0,China_Max,5946.805951935694,223356084.7487527,China,Max
2020,09_ROK,Northeast Asia,Carbon Neutral,42474.0,China_Max,5946.805951935694,252584636.00251666,China,Max
2020,11_MEX,Other Americas,Carbon Neutral,20706.0,China_Max,5946.805951935694,123134564.04078048,China,Max
2020,08_JPN,Northeast Asia,Carbon Neutral,87568.0,China_Max,5946.805951935694,520749903.5991048,China,Max
2020,07_INA,Southeast Asia,Reference,8199.9999999999,China_Max,5946.805951935694,48763808.8058721,China,Max
2020,07_INA,Southeast Asia,Carbon Neutral,8199.9999999999,China_Max,5946.805951935694,48763808.8058721,China,Max
2020,08_JPN,Northeast Asia,Reference,270889.0,China_Max,5946.805951935694,1610924317.5139081,China,Max
2021,12_NZ,Oceania,Reference,9282.0,China_Max,5696.945892423759,52879051.77347733,China,Max
2021,13_PNG,Oceania,Carbon Neutral,0.0,China_Max,5696.945892423759,0.0,China,Max
2021,13_PNG,Oceania,Reference,0.0,China_Max,5696.945892423759,0.0,China,Max
2021,14_PE,Other Americas,Carbon Neutral,2019.9999999999,China_Max,5696.945892423759,11507830.702695422,China,Max
